Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
MusicLDM,musiccaps,10,6.130348573525747,7.036441663106283,5.279629650115967,6.670538055896759
MusicLDM,musiccaps,25,6.139588809808095,6.930863070487976,5.346530259450277,6.636520374615987
MusicLDM,musiccaps,50,6.220057862599691,6.883122357527415,5.340371284484863,6.599944018522899
MusicLDM,musiccaps,100,6.17877632856369,6.77759823958079,5.347667166392008,6.581534869670868
MusicLDM,musiccaps,150,6.136268986066183,6.761626902421315,5.452348994414011,6.593423655033112
MusicLDM,musiccaps,200,6.245575177669525,6.871908371448517,5.376859767436981,6.638034343719482
MusicLDM,songdescriber,10,6.69474088827769,7.423075133164724,5.458019250233968,7.097076708475749
MusicLDM,songdescriber,25,6.782433088620504,7.331689461867015,5.546573016643524,7.079814432462056
MusicLDM,songdescriber,50,6.755556403795878,7.2452228021621705,5.588037977218628,7.00305977900823
MusicLDM,songdescriber,100,6.785421203772227,7.250589473247528,5.594230177402497,7.035217353502909
MusicLDM,songdescriber,150,6.913665316104889,7.278341738382975,5.612330531279246,7.1102362124125165
MusicLDM,songdescriber,200,6.83164166132609,7.25564419110616,5.564378147919973,7.062982765833537
