Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
musicAudioLDM,musiccaps,10,5.614217054843903,6.421328896681468,5.011989030838013,6.453657438755036
musicAudioLDM,musiccaps,25,5.759664210478465,6.533917563756307,5.143729291359583,6.603573586940765
musicAudioLDM,musiccaps,50,5.807556139628092,6.533530077934265,5.237711924314499,6.643159141540528
musicAudioLDM,musiccaps,100,5.771049969991048,6.490754330952962,5.262980320453644,6.617493981520335
musicAudioLDM,musiccaps,150,5.750705482959748,6.517586574554444,5.3570302391052245,6.6448838051160175
musicAudioLDM,musiccaps,200,5.79473922252655,6.517955805460612,5.293335063457489,6.619286842346192
musicAudioLDM,songdescriber,10,6.065069757302602,6.87032121181488,5.0839215743541715,6.851151933670044
musicAudioLDM,songdescriber,25,6.2112798388799035,6.9879481903711955,5.271087242762248,7.010781015555064
musicAudioLDM,songdescriber,50,6.224669570128123,6.98818953593572,5.246094140609105,7.023299838701884
musicAudioLDM,songdescriber,100,6.218845069408417,6.9917654426892595,5.309067681630452,7.046841495831807
musicAudioLDM,songdescriber,150,6.247999447186788,6.9485137995084125,5.392987338304519,7.0305172944068905
musicAudioLDM,songdescriber,200,6.22489684343338,6.95026815811793,5.351075166463852,7.0002836227417
