Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
musicTango,musiccaps,10,6.009298613071442,6.361184140841166,5.035786364078522,6.280561020374298
musicTango,musiccaps,25,6.665529398123423,6.893896123568217,5.399921817779541,6.876310909589131
musicTango,musiccaps,50,6.756724050045014,6.942601915200552,5.4532639193534855,7.025010890960694
musicTango,musiccaps,100,6.8016619857152305,7.05286950747172,5.4504772210121155,7.198800700505575
musicTango,musiccaps,150,6.730553567409515,7.016010533173879,5.576147009531657,7.127386205991109
musicTango,musiccaps,200,6.776815393765768,7.000107628504435,5.428077044487,7.165725742975871
musicTango,songdescriber,10,5.956385200421016,6.517901559670766,4.998214838504791,6.399180327256521
musicTango,songdescriber,25,6.793442996342977,7.204209005037944,5.355690325895945,7.068357942104339
musicTango,songdescriber,50,6.9308819190661115,7.306755177974701,5.4914367190996805,7.260634969075521
musicTango,songdescriber,100,6.956811085542043,7.314730997085571,5.486106901963552,7.307631036440531
musicTango,songdescriber,150,6.872725296020508,7.219125301043192,5.659282770951589,7.185698199272156
musicTango,songdescriber,200,7.012502853075663,7.321275253295898,5.55792409658432,7.356584394772847
