model,steps,baseline,fad_score_laion,fad_score_encodec
ACEStep,10,musiccaps,0.5597497672121177,33.45465208848681
ACEStep,25,musiccaps,0.5183717817435222,28.471692404049485
ACEStep,50,musiccaps,0.4105949147939049,24.084613998527715
ACEStep,100,musiccaps,0.38105212961981333,22.6668971606578
ACEStep,150,musiccaps,0.40314897546332357,23.508061446280998
ACEStep,200,musiccaps,0.4126715434855376,24.883883709024502
ACEStep,10,songdescriber,0.4462039099709202,50.63925372394975
ACEStep,25,songdescriber,0.39728597860067777,47.1637669280036
ACEStep,50,songdescriber,0.3492425151772853,42.61764232466355
ACEStep,100,songdescriber,0.35812451491206465,41.20741302564643
ACEStep,150,songdescriber,0.39032425605057386,40.33775405568338
ACEStep,200,songdescriber,0.4320085658898754,40.60461749894836
