model,steps,baseline,fad_score_laion,fad_score_encodec
AudioX,10,musiccaps,0.3197920056521877,12.286112516570565
AudioX,25,musiccaps,0.16233794332795964,15.153248831778935
AudioX,50,musiccaps,0.15477270275586213,14.276576146129221
AudioX,100,musiccaps,0.15447681130765,12.089719437107814
AudioX,150,musiccaps,0.1451313840083493,9.419849968807998
AudioX,200,musiccaps,0.1558340901339777,12.712226116324219
AudioX,10,songdescriber,0.32064739587233243,33.47515502219014
AudioX,25,songdescriber,0.22185343947515213,14.781261003795672
AudioX,50,songdescriber,0.21681118649660264,16.133747094348756
AudioX,100,songdescriber,0.21340195633295705,13.208389333675518
AudioX,150,songdescriber,0.19637686296120166,14.712603733144059
AudioX,200,songdescriber,0.20976828316116453,15.073120939343436
