model,steps,baseline,fad_score_laion,fad_score_encodec
MusicLDM,10,musiccaps,0.5913280474140783,77.5457178712059
MusicLDM,25,musiccaps,0.5243273388855196,61.883204832382795
MusicLDM,50,musiccaps,0.5082982283087669,58.58244955954738
MusicLDM,100,musiccaps,0.5051521978567812,55.89266179147785
MusicLDM,150,musiccaps,0.5099062827278147,58.27230982819067
MusicLDM,200,musiccaps,0.5021991219521871,56.010866118677484
MusicLDM,10,songdescriber,0.4830199560773085,75.18115970430928
MusicLDM,25,songdescriber,0.4510498245246225,60.80723360345437
MusicLDM,50,songdescriber,0.45672013764500585,57.243785735448306
MusicLDM,100,songdescriber,0.456595440888783,54.48190575392924
MusicLDM,150,songdescriber,0.46245573045044963,63.86372929033132
MusicLDM,200,songdescriber,0.4591438480927189,53.05029468352059
