Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
ACEStep,musiccaps,10,6.565099486509959,7.159936026732127,5.9915500489870706,7.2661071252822875
ACEStep,musiccaps,25,6.555777110258738,7.1931378165880835,6.022320139408111,7.379629267056783
ACEStep,musiccaps,50,6.5605461573600765,7.258162192503611,6.007879366079966,7.429284714063009
ACEStep,musiccaps,100,6.483148321310679,7.235578258832295,5.969893180529277,7.405339051882426
ACEStep,musiccaps,150,6.356594906648,7.372246265411377,5.705463666915893,7.463688112894694
ACEStep,musiccaps,200,6.284319603443146,7.249583270549774,5.700450536410014,7.384091555277506
ACEStep,songdescriber,10,6.512192588647206,7.263405329386393,5.928663218816121,7.222886707782745
ACEStep,songdescriber,25,6.570594797134399,7.308106109301249,6.028877965609232,7.402414299647013
ACEStep,songdescriber,50,6.574110922018687,7.338141911824544,6.060671451886495,7.458846486409505
ACEStep,songdescriber,100,6.51303965806961,7.310118446350097,6.009825166066488,7.418732492129008
ACEStep,songdescriber,150,6.385435450871785,7.441190665562948,5.786088841756185,7.458514534632365
ACEStep,songdescriber,200,6.343360543251038,7.336599935690562,5.755190633138021,7.372120164235433
