model,steps,baseline,clap_score
musicAudioLDM,10,musiccaps,0.3151871860027313
musicAudioLDM,25,musiccaps,0.3414090573787689
musicAudioLDM,50,musiccaps,0.34874024987220764
musicAudioLDM,100,musiccaps,0.35177499055862427
musicAudioLDM,150,musiccaps,0.3523569405078888
musicAudioLDM,200,musiccaps,0.35102975368499756
musicAudioLDM,10,songdescriber,0.24272766709327698
musicAudioLDM,25,songdescriber,0.2635509669780731
musicAudioLDM,50,songdescriber,0.2673879563808441
musicAudioLDM,100,songdescriber,0.26645800471305847
musicAudioLDM,150,songdescriber,0.26775047183036804
musicAudioLDM,200,songdescriber,0.26591411232948303
