model,steps,baseline,gpu_energy,emissions
ACEStep,10,musiccaps,0.02235870205359447,0.008039524943129046
ACEStep,25,musiccaps,0.0368192450110301,0.01322401935252061
ACEStep,50,musiccaps,0.061891142290519,0.02216725538801536
ACEStep,100,musiccaps,0.1119464073348256,0.0401313759533457
ACEStep,150,musiccaps,0.1623402168163454,0.0580187327759001
ACEStep,200,musiccaps,0.2132688225593279,0.0763444666969785
ACEStep,10,songdescriber,0.022378887625635002,0.008047671022842866
ACEStep,25,songdescriber,0.0366370068097979,0.01316583862344436
ACEStep,50,songdescriber,0.0614052791241439,0.021995576650213493
ACEStep,100,songdescriber,0.1105161289683126,0.0396533049610606
ACEStep,150,songdescriber,0.1602201070650436,0.0573231077808087
ACEStep,200,songdescriber,0.2108172861536545,0.0755155743228402
