model,steps,baseline,gpu_energy,emissions
AudioX,10,musiccaps,0.02223229917376548,0.0077345946103685006
AudioX,25,musiccaps,0.0320413870209522,0.011214647849459915
AudioX,50,musiccaps,0.0485802224741705,0.017082390615779233
AudioX,100,musiccaps,0.0817061903647843,0.028833413837903988
AudioX,150,musiccaps,0.1147455901283216,0.0405555778962618
AudioX,200,musiccaps,0.1472381855678422,0.052094709013880997
AudioX,10,songdescriber,0.022036882907059407,0.007662182097303627
AudioX,25,songdescriber,0.0319961758743679,0.011202353815359806
AudioX,50,songdescriber,0.0485540452327616,0.017078764288156488
AudioX,100,songdescriber,0.081666695889551,0.02882607251987672
AudioX,150,songdescriber,0.1149784311490824,0.0406390664259008
AudioX,200,songdescriber,0.1475894544607134,0.0522239074798628
