model,steps,baseline,gpu_energy,emissions
MusicLDM,10,musiccaps,0.0052199825099705265,0.0028449311042274736
MusicLDM,25,musiccaps,0.009409896694762665,0.005025139139434632
MusicLDM,50,musiccaps,0.016616194960136,0.008836613098377341
MusicLDM,100,musiccaps,0.030980884229776615,0.016410576717115204
MusicLDM,150,musiccaps,0.0454579002556983,0.02406150875899029
MusicLDM,200,musiccaps,0.0600789533410037,0.0317833882049407
MusicLDM,10,songdescriber,0.00512658382342579,0.002771632444267618
MusicLDM,25,songdescriber,0.00946741590809097,0.005061042412978193
MusicLDM,50,songdescriber,0.016657949714613096,0.008859394743133131
MusicLDM,100,songdescriber,0.031261876398657705,0.01660243836790426
MusicLDM,150,songdescriber,0.0458202272114777,0.024288490337971577
MusicLDM,200,songdescriber,0.0603124526950143,0.0319213654709849
