model,steps,baseline,gpu_energy,emissions
musicAudioLDM,10,musiccaps,0.005074045726018994,0.002722741538878301
musicAudioLDM,25,musiccaps,0.009455555897559975,0.005012047610567499
musicAudioLDM,50,musiccaps,0.01681929234418078,0.00888399456311972
musicAudioLDM,100,musiccaps,0.031184342169766188,0.016324935611415684
musicAudioLDM,150,musiccaps,0.0457736710631586,0.02401774179786642
musicAudioLDM,200,musiccaps,0.0607931486344017,0.0319170285422652
musicAudioLDM,10,songdescriber,0.005106320196048841,0.00272823287382397
musicAudioLDM,25,songdescriber,0.009568508210165305,0.005063859652976145
musicAudioLDM,50,songdescriber,0.017045907803108662,0.009001271896427791
musicAudioLDM,100,songdescriber,0.0318833766176278,0.016793694060326665
musicAudioLDM,150,songdescriber,0.0468168966202999,0.024618779906266
musicAudioLDM,200,songdescriber,0.0617305877177174,0.03243077441495
