model,steps,baseline,gpu_energy,emissions
musicAudioLDM2,10,musiccaps,0.009516700669010447,0.005188051021475618
musicAudioLDM2,25,musiccaps,0.018744372217653904,0.010152056480689047
musicAudioLDM2,50,musiccaps,0.0340546316881912,0.018381479131781474
musicAudioLDM2,100,musiccaps,0.064896225250293,0.0349718132149543
musicAudioLDM2,150,musiccaps,0.0960872129811175,0.0517597444804413
musicAudioLDM2,200,musiccaps,0.1269398937740777,0.0682913554963559
musicAudioLDM2,10,songdescriber,0.009368770828189099,0.005108572375968406
musicAudioLDM2,25,songdescriber,0.01841919029116923,0.00997740773916879
musicAudioLDM2,50,songdescriber,0.0336386821885948,0.018151170852082444
musicAudioLDM2,100,songdescriber,0.0639561906094741,0.0344349001427985
musicAudioLDM2,150,songdescriber,0.0943039601652189,0.0506855021622869
musicAudioLDM2,200,songdescriber,0.1249557430201652,0.0671346670562422
