model,steps,baseline,gpu_energy,emissions
musicSAO,10,musiccaps,0.022719152619231357,0.0096959925992626
musicSAO,25,musiccaps,0.0531206202752938,0.022402141271427083
musicSAO,50,musiccaps,0.1037308754835482,0.04357109966438
musicSAO,100,musiccaps,0.2049811248181596,0.0858811094234415
musicSAO,150,musiccaps,0.3064989032545628,0.1283126524396023
musicSAO,200,musiccaps,0.4084547534292667,0.1703495509587583
musicSAO,10,songdescriber,0.02267489341863893,0.009680229987897575
musicSAO,25,songdescriber,0.0531447055712275,0.022416077727042082
musicSAO,50,songdescriber,0.1037876496968537,0.0435913036634116
musicSAO,100,songdescriber,0.2051775363640173,0.0859681591022468
musicSAO,150,songdescriber,0.3068004776624054,0.1284475226572519
musicSAO,200,songdescriber,0.40891605852174,0.1711178348367338
