model,steps,baseline,gpu_energy,emissions
musicTango,10,musiccaps,0.0326061285849159,0.013972013787641508
musicTango,25,musiccaps,0.0764048280682331,0.0323750186946402
musicTango,50,musiccaps,0.1493638261577956,0.0630354709704531
musicTango,100,musiccaps,0.2957508938228264,0.1245561122423088
musicTango,150,musiccaps,0.4429567099207359,0.1863645420866013
musicTango,200,musiccaps,0.5907725965066938,0.2484268883838065
musicTango,10,songdescriber,0.0323211811349172,0.0138522556955102
musicTango,25,songdescriber,0.0756726322047697,0.0320775258884794
musicTango,50,songdescriber,0.1480289409230262,0.0624904011886845
musicTango,100,songdescriber,0.2932140059601224,0.1235021331357044
musicTango,150,songdescriber,0.4392223186000874,0.1848290230622743
musicTango,200,songdescriber,0.5859165195661683,0.2464178097578471
