model,steps,baseline,fad_score_laion,fad_score_encodec
musicAudioLDM2,10,musiccaps,0.6312405189156955,104.77202638382876
musicAudioLDM2,25,musiccaps,0.5633428052532429,77.96547311626998
musicAudioLDM2,50,musiccaps,0.5342331799870529,70.70795529642291
musicAudioLDM2,100,musiccaps,0.5295269595330635,65.17847539758006
musicAudioLDM2,150,musiccaps,0.5127602729366043,84.53589599856079
musicAudioLDM2,200,musiccaps,0.5109579953738275,62.38762920048979
musicAudioLDM2,10,songdescriber,0.5969926621987469,97.72896897959166
musicAudioLDM2,25,songdescriber,0.5258825455624909,82.54281268802717
musicAudioLDM2,50,songdescriber,0.509611580875316,74.53442904479738
musicAudioLDM2,100,songdescriber,0.5135508313960864,72.77738964393473
musicAudioLDM2,150,songdescriber,0.5139681981092533,87.44151340896575
musicAudioLDM2,200,songdescriber,0.5122589354325361,72.07574452998938
