model,steps,baseline,fad_score_laion,fad_score_encodec
musicSAO,10,musiccaps,0.4121227378178923,59.39097133291953
musicSAO,25,musiccaps,0.3805510343410075,42.582901777562384
musicSAO,50,musiccaps,0.3780613884355562,44.461566235172086
musicSAO,100,musiccaps,0.37196355567352707,44.03299551060111
musicSAO,150,musiccaps,0.3681834247877574,43.383963726118026
musicSAO,200,musiccaps,0.36312110221060345,43.307908429312725
musicSAO,10,songdescriber,0.3359900879895656,77.27807999924026
musicSAO,25,songdescriber,0.2762508442631505,51.32112008569199
musicSAO,50,songdescriber,0.2754912353464197,45.808269654137135
musicSAO,100,songdescriber,0.2651231133244322,47.609200684048666
musicSAO,150,songdescriber,0.2656348496304574,47.00616273264464
musicSAO,200,songdescriber,0.26236374885366065,45.94970108073461
